metric,x_label,x_value,accrual_months,total_n
binary_cure_flag,absolute_lift_pp,2.000,207.3819,
binary_cure_flag,absolute_lift_pp,2.082,191.4349,
binary_cure_flag,absolute_lift_pp,2.164,177.2603,
binary_cure_flag,absolute_lift_pp,2.245,164.6047,
binary_cure_flag,absolute_lift_pp,2.327,153.2586,
binary_cure_flag,absolute_lift_pp,2.409,143.0473,
binary_cure_flag,absolute_lift_pp,2.491,133.8242,
binary_cure_flag,absolute_lift_pp,2.572,125.4659,
binary_cure_flag,absolute_lift_pp,2.654,117.8675,
binary_cure_flag,absolute_lift_pp,2.736,110.9395,
binary_cure_flag,absolute_lift_pp,2.818,104.6052,
binary_cure_flag,absolute_lift_pp,2.899,98.7988,
binary_cure_flag,absolute_lift_pp,2.981,93.4631,
binary_cure_flag,absolute_lift_pp,3.063,88.5486,
binary_cure_flag,absolute_lift_pp,3.145,84.0120,
binary_cure_flag,absolute_lift_pp,3.226,79.8156,
binary_cure_flag,absolute_lift_pp,3.308,75.9261,
binary_cure_flag,absolute_lift_pp,3.390,72.3143,
binary_cure_flag,absolute_lift_pp,3.472,68.9545,
binary_cure_flag,absolute_lift_pp,3.553,65.8236,
binary_cure_flag,absolute_lift_pp,3.635,62.9013,
binary_cure_flag,absolute_lift_pp,3.717,60.1696,
binary_cure_flag,absolute_lift_pp,3.799,57.6121,
binary_cure_flag,absolute_lift_pp,3.881,55.2143,
binary_cure_flag,absolute_lift_pp,3.962,52.9633,
binary_cure_flag,absolute_lift_pp,4.044,50.8472,
binary_cure_flag,absolute_lift_pp,4.126,48.8556,
binary_cure_flag,absolute_lift_pp,4.208,46.9787,
binary_cure_flag,absolute_lift_pp,4.289,45.2080,
binary_cure_flag,absolute_lift_pp,4.371,43.5356,
binary_cure_flag,absolute_lift_pp,4.453,41.9544,
binary_cure_flag,absolute_lift_pp,4.535,40.4578,
binary_cure_flag,absolute_lift_pp,4.616,39.0398,
binary_cure_flag,absolute_lift_pp,4.698,37.6952,
binary_cure_flag,absolute_lift_pp,4.780,36.4188,
binary_cure_flag,absolute_lift_pp,4.862,35.2062,
binary_cure_flag,absolute_lift_pp,4.943,34.0532,
binary_cure_flag,absolute_lift_pp,5.025,32.9559,
binary_cure_flag,absolute_lift_pp,5.107,31.9108,
binary_cure_flag,absolute_lift_pp,5.189,30.9147,
binary_cure_flag,absolute_lift_pp,5.270,29.9644,
binary_cure_flag,absolute_lift_pp,5.352,29.0573,
binary_cure_flag,absolute_lift_pp,5.434,28.1908,
binary_cure_flag,absolute_lift_pp,5.516,27.3625,
